ID,型,お題,属性,心の読み,A側の表記,B側の表記,掛けた対象,完成文章,人間の評価
,フレーズ・慣用句型,眩しい鏡,強い光で目を細めてしまう、見えにくい,めをほそめる,目を細める,目を細める,孫の成長を見守る祖父母,眩しい鏡とかけて、孫の成長を見守る祖父母と解く。その心は「どちらも目を細めるでしょう」。,
,フレーズ・慣用句型,眩しい鏡,強い光で視界が一時的に遮られる、判断が鈍る感覚,めがくらむ,目が眩む,目が眩む,大金に目がくらんだ人,眩しい鏡とかけて、大金に目がくらんだ人と解く。その心は「どちらも目が眩む（めがくらむ）でしょう」。,
,多義語型,ザラつく壁,表面の凹凸に何かが触れると、動きが妨げられる。,ひっかかる,手や服が「引っ掛かる」,罠や誘いに「引っ掛かる」,詐欺に遭いやすい人,ザラつく壁とかけて、詐欺に遭いやすい人と解く。その心は「どちらも『引っ掛かる』でしょう。」,
,完全な同音異義語型,ザラつく壁,表面の微細な粒子が剥がれ落ち、本来の形が崩れる。,くずれる,表面が「屑れる」,計画や体調が「崩れる」,体調を崩した人,ザラつく壁とかけて、体調を崩した人と解く。その心は「どちらも『くずれる』でしょう。」,
,フレーズ・慣用句型,ザラつく壁,表面の摩擦が大きく、物体がスムーズに動かない。,すべりがわるい,物が触れると「滑りが悪い」,交渉や話の「滑りが悪い」,口下手な営業マン,ザラつく壁とかけて、口下手な営業マンと解く。その心は「どちらも『滑りが悪い』でしょう。」,
,多義語型,ザラつく壁,表面が荒れていて、手触りが滑らかでない。,あれる,表面が「荒れる」,肌が「荒れる」,冬場の乾燥肌,ザラつく壁とかけて、冬場の乾燥肌と解く。その心は「どちらも『荒れる』でしょう。」,
,完全な同音異義語型,ザラつく壁,表面の物理的な区画、場所。,めん,壁の「面」,うどんやラーメンなどの「麺」,コシのある麺類,ザラつく壁とかけて、コシのある麺類と解く。その心は「どちらも『めん』でしょう。」,
,フレーズ・慣用句型,ザラつく壁,表面の手入れや掃除に時間や労力がかかる。,てまがかかる,メンテナンスに「手間が掛かる」,育成や解決に「手間が掛かる」,手のかかる子供,ザラつく壁とかけて、手のかかる子供と解く。その心は「どちらも『手間が掛かる』でしょう。」,
,完全な同音異義語型,うるさい鐘,音を立てて広く響き渡る,なりひびく,鳴り響く,成り響く,有名になった芸能人,「うるさい鐘」とかけて、「有名になった芸能人」と解く。その心は「どちらも『鳴り響く（成り響く）』でしょう。」,
,完全な同音異義語型,うるさい鐘,耳障りで心地よくない,ふかい,不快,深海,潜水艦,「うるさい鐘」とかけて、「潜水艦」と解く。その心は「どちらも『不快（深海）』でしょう。」,
,多義語型,うるさい鐘,音が遠くまで届く,とどく,届く,届く,宅配業者,「うるさい鐘」とかけて、「宅配業者」と解く。その心は「どちらも『届く』でしょう。」,
,多義語型,うるさい鐘,音を出す、音を響かせる,ならします,鳴らします,鳴らします,腕のいい料理人,「うるさい鐘」とかけて、「腕のいい料理人」と解く。その心は「どちらも『鳴らします』でしょう。」,
,フレーズ・慣用句型,うるさい鐘,音が不快に感じられる,みみにさわる,耳に障る,耳に障る,悪口を言われた人,「うるさい鐘」とかけて、「悪口を言われた人」と解く。その心は「どちらも『耳に障る』でしょう。」,
,フレーズ・慣用句型,うるさい鐘,一度鳴り出すと簡単には止まらない,なるととまらない,鳴ると止まらない,鳴ると止まらない,駄々をこねる幼児,「うるさい鐘」とかけて、「駄々をこねる幼児」と解く。その心は「どちらも『鳴ると止まらない』でしょう。」,
,多義語型,ぬるい風呂,湯が熱くなく、満足できない感覚,ものたりない,物足りない,物足りない,期待外れの映画,ぬるい風呂とかけて、期待外れの映画と解く。その心は「どちらも物足りない」でしょう。,
,フレーズ・慣用句型,ぬるい風呂,温まらず、かえって冷えてしまう状況,ゆざめする,湯冷めする,気が冷める（気持ちが冷めてしまう）,恋が冷めた人,ぬるい風呂とかけて、恋が冷めた人と解く。その心は「どちらも湯冷めする」でしょう。,
,完全な同音異義語型,ぬるい風呂,温度が低く、活気や刺激がない,ねっきがない,熱気がない,熱気がない（盛り上がりに欠ける）,人気のないイベント会場,ぬるい風呂とかけて、人気のないイベント会場と解く。その心は「どちらも熱気がない」でしょう。,
,多義語型,ぬるい風呂,満足感や刺激がなく、物足りない状態,はりあいがない,張り合いがない,張り合いがない,強いライバルがいないアスリート,ぬるい風呂とかけて、強いライバルがいないアスリートと解く。その心は「どちらも張り合いがない」でしょう。,
,フレーズ・慣用句型,ぬるい風呂,体が温まらず、冷えを感じる,からだがひえる,体が冷える,懐が冷える（お金が減る）,散財しすぎた人,ぬるい風呂とかけて、散財しすぎた人と解く。その心は「どちらも体が冷える」でしょう。,
,完全な同音異義語型,ぬるい風呂,温度が低くて追加で温め直す行為,おいだきする,追い焚きする,追い炊きする（ご飯を再度炊く）,ご飯が足りなくなった家族,ぬるい風呂とかけて、ご飯が足りなくなった家族と解く。その心は「どちらも追い焚きする」でしょう。,
,多義語型,甘い飴,口の中で形がなくなる,とける,溶ける（口の中で固体が液体に変わる）,解ける（問題の答えが見つかる）,難問に取り組む受験生,「甘い飴」とかけて、「難問に取り組む受験生」と解く。その心は「どちらも『とける』でしょう。」,
,フレーズ・慣用句型,甘い飴,甘さで人を引きつける,あまいさそい,甘い誘い（味覚で人を惹きつけること）,甘い誘い（魅力的な言葉で人を誘うこと）,詐欺師の言葉,「甘い飴」とかけて、「詐欺師の言葉」と解く。その心は「どちらも『甘い誘い』でしょう。」,
,完全な同音異義語型,甘い飴,舌で味わう,なめる,舐める（舌で味わう）,嘗める（相手を軽んじる、侮る）,相手を油断している人,「甘い飴」とかけて、「相手を油断している人」と解く。その心は「どちらも『なめる』でしょう。」,
,多義語型,甘い飴,粘り気がある,ねばる,粘る（物理的に粘着性がある）,粘る（根気強く続ける）,困難に直面しても諦めない人,「甘い飴」とかけて、「困難に直面しても諦めない人」と解く。その心は「どちらも『粘る』でしょう。」,
,フレーズ・慣用句型,甘い飴,甘い物を与えて機嫌を取る,おだてる,おだてる（甘い物を与えて機嫌を取る）,おだてる（褒めそやしていい気にさせる）,上司のご機嫌を取る部下,「甘い飴」とかけて、「上司のご機嫌を取る部下」と解く。その心は「どちらも『おだてる』でしょう。」,
,完全な同音異義語型,甘い飴,形が丸い,まるい,丸い（形状が円形である）,丸い（人柄が穏やかで角がない）,人当たりが良い人,「甘い飴」とかけて、「人当たりが良い人」と解く。その心は「どちらも『丸い』でしょう。」,
,完全な同音異義語型,固い煎餅,噛むと欠けたり、砕けたりする,われる,割れる（物理的に砕け散る）,割れる（意見が分かれる、まとまらない）,結論が出ない会議,固い煎餅とかけて、結論が出ない会議と解く。その心は『どちらも意見が割れる』でしょう。,
,完全な同音異義語型,固い煎餅,強く噛むと、文字通り「歯が砕ける」可能性がある,はがくだける,歯が砕ける（物理的に歯が折れる）,歯が砕ける（言葉遣いがくだける、フランクになる）,気心の知れた友人との会話,固い煎餅とかけて、気心の知れた友人との会話と解く。その心は『どちらも歯が砕ける』でしょう。,
,多義語型,固い煎餅,物理的に非常に「硬い」食感である,かたい,固い（物理的な硬度）,堅い（口が堅い、秘密を守る）,どんな秘密も漏らさない人,固い煎餅とかけて、どんな秘密も漏らさない人と解く。その心は『どちらも口が堅い』でしょう。,
,多義語型,固い煎餅,食べるのに時間がかかり、なかなか消費量が「減らない」,へらない,減らない（量が減少しない）,減らない（腕が落ちない、熟練している）,長い経験を持つ職人,固い煎餅とかけて、長い経験を持つ職人と解く。その心は『どちらも腕が減らない』でしょう。,
,フレーズ・慣用句型,固い煎餅,固すぎて、物理的に「歯が立たない」,はがたたない,歯が立たない（物理的に噛み砕けない）,歯が立たない（太刀打ちできない、かなわない）,ベテランの棋士と対局する新人棋士,固い煎餅とかけて、ベテランの棋士と対局する新人棋士と解く。その心は『どちらも歯が立たない』でしょう。,
,フレーズ・慣用句型,固い煎餅,水分が少なく、食べると「口が渇く」,くちがかわく,口が渇く（生理現象として喉が渇く）,口が渇く（緊張や多弁で喉が渇く）,熱い議論を戦わせる弁論家,固い煎餅とかけて、熱い議論を戦わせる弁論家と解く。その心は『どちらも口が渇く』でしょう。,
,完全な同音異義語型,臭い生ゴミ,不快な悪臭を放つ,あくしゅう,悪臭（不快なにおい）,悪習（悪い習慣）,改めるべき社会の古いしきたり,臭い生ゴミとかけて、改めるべき社会の古いしきたりと解く。その心は「どちらも悪習（あくしゅう）でしょう。」,
,多義語型,臭い生ゴミ,腐敗し、使い物にならなくなる,くさる,腐る（物が腐敗する）,腐る（やる気をなくす、能力が活かされない）,閑職に追いやられたベテラン社員,臭い生ゴミとかけて、閑職に追いやられたベテラン社員と解く。その心は「どちらも腐っているでしょう。」,
,フレーズ・慣用句型,臭い生ゴミ,放置すると溜まって不快で仕方がない状態になる,たまったものじゃない,溜まったものじゃない（不快で我慢できない）,たまったものではない（非常に困った状況である）,無理難題ばかり押し付けられる新人社員,臭い生ゴミとかけて、無理難題ばかり押し付けられる新人社員と解く。その心は「どちらもたまったものじゃないでしょう。」,
,完全な同音異義語型,臭い生ゴミ,放置すると容器から汁（しる）が漏れることがある,しる,汁（液体のもの）,知る（物事を認識する）,世の中の動向を常に調べている探偵,臭い生ゴミとかけて、世の中の動向を常に調べている探偵と解く。その心は「どちらも汁（しる）でしょう。」,
,多義語型,臭い生ゴミ,きちんと処分して片付ける必要がある,かたづける,片付ける（ゴミを処理する）,片付ける（問題を解決する）,山積みの仕事を効率よく処理するビジネスパーソン,臭い生ゴミとかけて、山積みの仕事を効率よく処理するビジネスパーソンと解く。その心は「どちらも片付けるでしょう。」,
,フレーズ・慣用句型,臭い生ゴミ,その悪臭が鼻につき、不快に感じる,はなにつく,鼻につく（悪臭が嗅覚を刺激する）,鼻につく（人の言動が気に障る、嫌味に感じる）,いつも自慢話ばかりする同僚,臭い生ゴミとかけて、いつも自慢話ばかりする同僚と解く。その心は「どちらも鼻につくでしょう。」,
,多義語型,眩しいネオン,光が強く、街を明るく飾る,かがやく,輝く（光り輝く）,輝く（才能や業績が素晴らしい）,一流のスポーツ選手,眩しいネオンとかけて、一流のスポーツ選手と解く。その心は「どちらも輝いています」でしょう。,
,フレーズ・慣用句型,眩しいネオン,夜の街を明るくし、目立つ存在,まちをてらす,街を照らす（光で明るくする）,街を照らす（社会貢献や活動で希望を与える）,地域に根差したボランティア団体,眩しいネオンとかけて、地域に根差したボランティア団体と解く。その心は「どちらも街を照らしています」でしょう。,
,完全な同音異義語型,眩しいネオン,色とりどりの光で場所を飾る,いろどり,色取り（色彩、鮮やかさ）,彩り（料理の見た目の美しさ）,腕の良い料理人,眩しいネオンとかけて、腕の良い料理人と解く。その心は「どちらも彩りを与えます」でしょう。,
,多義語型,眩しいネオン,その鮮やかさで人々の目を引きつける,ひとをひきつける,人を引きつける（魅了する）,人を引きつける（魅力や存在感で魅了する）,カリスマ性のあるリーダー,眩しいネオンとかけて、カリスマ性のあるリーダーと解く。その心は「どちらも人を引きつけます」でしょう。,
,フレーズ・慣用句型,眩しいネオン,その光で周囲から注目を集める,めをひく,目を引く（注目を集める）,目を引く（魅力的なデザインや容姿で注目を集める）,ファッションショーのモデル,眩しいネオンとかけて、ファッションショーのモデルと解く。その心は「どちらも目を引きます」でしょう。,
,完全な同音異義語型,眩しいネオン,夜の街に光を放つ,ひかり,光（発光体としての光）,光（栄光、繁栄の象徴）,昔栄えた国,眩しいネオンとかけて、昔栄えた国と解く。その心は「どちらもその時代を光り輝かせました」でしょう。,
,完全な同音異義語型,重い扉,物理的に動かすのに大きな力が必要,おもい,重い（物理的な重量）,想い（感情、心の中の念）,恋する乙女,重い扉とかけて、恋する乙女と解く。その心は「どちらも『想いが重い』でしょう。」,
,完全な同音異義語型,重い扉,頑丈で、容易には開かない、しっかり閉じている,かたい,固い（物理的にしっかり閉じている）,堅い（秘密などを漏らさない様子）,秘密を守る人,重い扉とかけて、秘密を守る人と解く。その心は「どちらも『口が堅い』でしょう。」,
,多義語型,重い扉,物理的に開けるのが困難である,ひらくのがむずかしい,開くのが難しい（物理的な動作）,開くのが難しい（心を開く、物事が進展する）,人間不信な人,重い扉とかけて、人間不信な人と解く。その心は「どちらも『なかなか心を開かない』でしょう。」,
,多義語型,重い扉,物理的な重量があり、動かすのに労力がかかる,せきにんがおもい,重い（物理的な重量感）,重い（精神的な負担、責任の大きさ）,会社の社長,重い扉とかけて、会社の社長と解く。その心は「どちらも『責任が重い』でしょう。」,
,フレーズ・慣用句型,重い扉,力を入れて無理やり開ける必要がある,おしひらく,押し開く（物理的に力を加えて開ける）,押し開く（困難な状況や道を切り開く）,新しい市場を開拓する起業家,重い扉とかけて、新しい市場を開拓する起業家と解く。その心は「どちらも『自らの力で道を押し開く』でしょう。」,
,フレーズ・慣用句型,重い扉,一度閉まるとしっかりと閉まり、開けにくい,かたくしめる,固く閉める（物理的に密閉する）,固く締める（節約するために出費を抑える）,倹約家,重い扉とかけて、倹約家と解く。その心は「どちらも『固く財布の紐を締める』でしょう。」,
,多義語型,鋭い刃,物によく効く、性能が良い,きれあじがいい,切れ味が良い,話の切れ味が良い,落語家,「鋭い刃」とかけて、「落語家」と解く。その心は『どちらも「切れ味が良い」』でしょう。,
,フレーズ・慣用句型,鋭い刃,触ると危険である、取り扱いに気を配る,ちゅういがひつよう,注意が必要,人間関係において注意が必要,思春期の子供,「鋭い刃」とかけて、「思春期の子供」と解く。その心は『どちらも「注意が必要」』でしょう。,
,完全な同音異義語型,鋭い刃,先端が細く尖っている,とがっている,尖っている,態度が尖っている,反抗期の生徒,「鋭い刃」とかけて、「反抗期の生徒」と解く。その心は『どちらも「尖っている」』でしょう。,
,多義語型,鋭い刃,対象を切り分ける、貫く,きりさく,切り裂く,空間を切り裂くような速さ,陸上短距離選手,「鋭い刃」とかけて、「陸上短距離選手」と解く。その心は『どちらも「切り裂く」』でしょう。,
,フレーズ・慣用句型,鋭い刃,手入れしないと機能が落ちる,とがないとなまくらになる,研がないと鈍(なまくら)になる,鍛錬しないと鈍(なまくら)になる,運動を怠るスポーツ選手,「鋭い刃」とかけて、「運動を怠るスポーツ選手」と解く。その心は『どちらも「研がないと鈍(なまくら)になる」』でしょう。,
,完全な同音異義語型,鋭い刃,表面が磨かれ反射する,ひかる,光る,才能が光る,新人のアイデアマン,「鋭い刃」とかけて、「新人のアイデアマン」と解く。その心は『どちらも「光る」』でしょう。,
,多義語型,滑る靴底,摩擦が少なく、目的地へ到達するのが難しい、足元が不安定になる,すべる,滑る（物理的に地面を滑ること）,滑る（試験に落ちる、機会を逃すなどの失敗）,入学試験に落ちた受験生,「滑る靴底」とかけて、「入学試験に落ちた受験生」と解く。その心は『どちらも「滑る」でしょう。』,
,フレーズ・慣用句型,滑る靴底,摩擦が効かない、前に進むのが難しい、バランスを崩す,あしをとられる,足を取られる（物理的に滑ってバランスを崩し、動きがとれない状態）,足を取られる（ある事情に妨げられて身動きが取れなくなること）,借金で身動きが取れない経営者,「滑る靴底」とかけて、「借金で身動きが取れない経営者」と解く。その心は『どちらも「足を取られる」でしょう。』,
,完全な同音異義語型,滑る靴底,バランスを失い、地面に倒れる可能性がある,ころぶ,転ぶ（物理的に倒れる）,転ぶ（状況が急に変わる、形勢が逆転する）,選挙で逆転負けした候補者,「滑る靴底」とかけて、「選挙で逆転負けした候補者」と解く。その心は『どちらも「転ぶ」でしょう。』,
,完全な同音異義語型,滑る靴底,摩擦が効かない、グリップがない,きかない,効かない（摩擦やグリップが機能しない）,聞かない（人の意見や忠告を受け入れない）,親の言うことを聞かない子供,「滑る靴底」とかけて、「親の言うことを聞かない子供」と解く。その心は『どちらも「効かない（聞かない）」でしょう。』,
,フレーズ・慣用句型,滑る靴底,不安定、バランスを失う、しっかり立てない,ちにあしがつかない,地に足がつかない（物理的に不安定で転びそうになる）,地に足がつかない（現実離れしている、浮かれている）,宝くじに当たって浮かれている人,「滑る靴底」とかけて、「宝くじに当たって浮かれている人」と解く。その心は『どちらも「地に足がつかない」でしょう。』,
,多義語型,滑る靴底,安定性が低い、予測不能な動きをする、制御が難しい,ふあんてい,不安定（物理的に状態が定まらないこと）,不安定（精神的に落ち着かない、経済的に不安定な状態）,職を転々としている若者,「滑る靴底」とかけて、「職を転々としている若者」と解く。その心は『どちらも「不安定」でしょう。』,
,完全な同音異義語型,鳴るサイレン,音が出る、周囲に聞こえる、状態が変化する,なる,鳴る,成る,熟成するチーズ,鳴るサイレンとかけて、熟成するチーズと解く。その心は「どちらも【なる】でしょう。」,
,完全な同音異義語型,鳴るサイレン,危険を知らせる、緊急事態,きき,危機,機器,最新の機器を扱うエンジニア,鳴るサイレンとかけて、最新の機器を扱うエンジニアと解く。その心は「どちらも【きき】でしょう。」,
,多義語型,鳴るサイレン,音や動きが停止する,とまる,止まる,泊まる,遠方から来た旅人,鳴るサイレンとかけて、遠方から来た旅人と解く。その心は「どちらも【とまる】でしょう。」,
,多義語型,鳴るサイレン,音が広がる、伝わる,ひびく,響く,響く,感動的な演奏を聴いた聴衆,鳴るサイレンとかけて、感動的な演奏を聴いた聴衆と解く。その心は「どちらも【響く】でしょう。」,
,フレーズ・慣用句型,鳴るサイレン,緊急性があり、無視できない,ひとごとのようにはいられない,人ごとのようにはいられない,人ごとのようにはいられない,困っている友人を前にした親友,鳴るサイレンとかけて、困っている友人を前にした親友と解く。その心は「どちらも【人ごとのようにはいられない】でしょう。」,
,フレーズ・慣用句型,鳴るサイレン,周囲の注意を引く、注目を集める,まわりがちゅうもくする,周りが注目する,周りが注目する,重要なプレゼンテーションを行う発表者,鳴るサイレンとかけて、重要なプレゼンテーションを行う発表者と解く。その心は「どちらも【周りが注目する】でしょう。」,
,完全な同音異義語型,軋む床,ギシギシと音を立てる、摩擦が生じる,きしむ,軋む (音を立てる),軋轢 (人との摩擦),人間関係が悪化したチーム,「軋む床」とかけて、「人間関係が悪化したチーム」と解く。その心は「どちらも『軋む（あつれきがある）』でしょう。」,
,完全な同音異義語型,軋む床,古くなって傷つく、劣化する,いたむ,傷む (劣化する),痛む (身体的に苦痛を感じる),風邪をひいた人,「軋む床」とかけて、「風邪をひいた人」と解く。その心は「どちらも『傷む（痛む）』でしょう。」,
,多義語型,軋む床,音を立てて存在を知らせる、注意を引く,めだつ,目立つ (音を立てて存在が際立つ),目立つ (外見などが人目を引く),ファッションモデル,「軋む床」とかけて、「ファッションモデル」と解く。その心は「どちらも『目立つ』でしょう。」,
,多義語型,軋む床,ぐらぐら動く、安定しない,ゆれる,揺れる (物理的にグラグラする),揺れる (気持ちや意見が定まらない),優柔不断な人,「軋む床」とかけて、「優柔不断な人」と解く。その心は「どちらも『揺れる』でしょう。」,
,フレーズ・慣用句型,軋む床,足を乗せると音が出る,おとをだす,音を出す (物理的に音が生じる),声を出す (意見や気持ちを表明する),普段おとなしい人が、会議で意見を言う時,「軋む床」とかけて、「普段おとなしい人が、会議で意見を言う時」と解く。その心は「どちらも『音（声）を出す』でしょう。」,
,フレーズ・慣用句型,軋む床,修理や補強が必要,てをいれる,手を入れる (修理・補修をする),手を入れる (組織や計画に介入し、改善を図る),経営不振の会社,「軋む床」とかけて、「経営不振の会社」と解く。その心は「どちらも『手を入れる必要がある』でしょう。」,
,完全な同音異義語型,焦げた鍋,焦げがこびりつく状態,こびりつく,焦げがこびりつく,忘れられない過去の記憶がこびりつく,忘れられない過去の失敗,焦げた鍋とかけて、忘れられない過去の失敗と解く。その心は『どちらも「こびりつく」でしょう。』,
,完全な同音異義語型,焦げた鍋,底が真っ黒な状態,そこがくろい,鍋の底が黒い,洞窟の奥の空間が暗い,洞窟の奥,焦げた鍋とかけて、洞窟の奥と解く。その心は『どちらも「底が黒い（暗い）」でしょう。』,
,多義語型,焦げた鍋,焦げを落とすために手入れをする,みがく,鍋を磨く,技術や自分を磨く,プロの職人,焦げた鍋とかけて、プロの職人と解く。その心は『どちらも「磨く」必要があるでしょう。』,
,多義語型,焦げた鍋,調理のために火の上に置く,ひにかける,鍋を火にかける,事件の疑いをかける,事件の容疑者,焦げた鍋とかけて、事件の容疑者と解く。その心は『どちらも「火にかける」ことがあるでしょう。』,
,フレーズ・慣用句型,焦げた鍋,焦げ付いた嫌な匂いがする,いやなにおいがする,焦げた嫌な匂いがする,怪しい状況で嫌な匂いがする,秘密裏に進められる怪しい取引,焦げた鍋とかけて、秘密裏に進められる怪しい取引と解く。その心は『どちらも「嫌な匂いがする」でしょう。』,
,フレーズ・慣用句型,焦げた鍋,焦げを落とすのに手間と時間がかかる,てまがかかる,洗うのに手間がかかる,人材を育てるのに手間がかかる,新入社員の育成,焦げた鍋とかけて、新入社員の育成と解く。その心は『どちらも「手間がかかる」でしょう。』,
,完全な同音異義語型,煙たい蚊取り線香,渦を巻いている形状,まく,巻く（渦状に形作る）,撒く（種や水を散らす）,畑仕事をする農家,煙たい蚊取り線香とかけて、畑仕事をする農家と解く。その心は「どちらも『まく』(巻く/撒く)でしょう。」,
,完全な同音異義語型,煙たい蚊取り線香,燃え尽きてなくなること,きえる,消える（燃焼してなくなる）,消える（姿が見えなくなる）,マジシャンの手品,煙たい蚊取り線香とかけて、マジシャンの手品と解く。その心は「どちらも『きえる』でしょう。」,
,多義語型,煙たい蚊取り線香,煙が目に染みたり、不快に感じること,けむたい,煙たい（煙が目に染みるような不快感）,煙たい（近寄りがたい、気まずい雰囲気）,気難しい上司,煙たい蚊取り線香とかけて、気難しい上司と解く。その心は「どちらも『煙たい』存在でしょう。」,
,多義語型,煙たい蚊取り線香,火がついて燃焼すること,ひがつく,火が付く（燃え始める）,火が付く（話題が広がる、人気が出る、トラブルが発生する）,炎上したネットニュース,煙たい蚊取り線香とかけて、炎上したネットニュースと解く。その心は「どちらも『火が付く』と大変でしょう。」,
,フレーズ・慣用句型,煙たい蚊取り線香,蚊を近づかせない機能,むしをよせつけない,虫を寄せ付けない（物理的に蚊を遠ざける）,虫を寄せ付けない（嫌な人やものを近づけない）,気難しい職人,煙たい蚊取り線香とかけて、気難しい職人と解く。その心は「どちらも『虫を寄せ付けない』でしょう。」,
,フレーズ・慣用句型,煙たい蚊取り線香,煙で蚊を惑わせる様子,けむにまく,煙に巻く（煙で相手の視界を遮る）,煙に巻く（言葉巧みにはぐらかす）,口達者な詐欺師,煙たい蚊取り線香とかけて、口達者な詐欺師と解く。その心は「どちらも『煙に巻く』でしょう。」,
,完全な同音異義語型,冷える便座,体温より低く、温度が足りない状態,ひえる,冷える（温度が低くなる）,怯える（恐怖で震えおののく）,夜の森で一人になった子供,「冷える便座」とかけて、「夜の森で一人になった子供」と解く。その心は「どちらも『ひえる』でしょう。」,
,完全な同音異義語型,冷える便座,温度が低く、快適ではない感触,つめたい,冷たい（温度が低い）,積めたい（積み重ねて満たしたい）,山積みの荷物をトラックに積む運送業者,「冷える便座」とかけて、「山積みの荷物をトラックに積む運送業者」と解く。その心は「どちらも『つめたい』でしょう。」,
,多義語型,冷える便座,肌に冷たさが広がる感覚,しみる,染みる（冷たさが体に染み渡る）,染みる（液体が浸透する、感動が心に染み渡る）,墨が半紙に広がる様子,「冷える便座」とかけて、「墨が半紙に広がる様子」と解く。その心は「どちらも『しみる』でしょう。」,
,多義語型,冷える便座,座ると感じる不快な寒さ,さむい,寒い（気温が低い、冷たさを感じる）,寒い（冗談などが面白くない、場がしらける）,スベりまくって会場を凍りつかせたお笑い芸人,「冷える便座」とかけて、「スベりまくって会場を凍りつかせたお笑い芸人」と解く。その心は「どちらも『さむい』でしょう。」,
,フレーズ・慣用句型,冷える便座,冷たいため座るのをためらう,だれもすわりたがらない,誰も座りたがらない（物理的に冷たいので）,誰も座りたがらない（責任や面倒を避けたい状況）,会社の厄介なプロジェクトリーダーの椅子,「冷える便座」とかけて、「会社の厄介なプロジェクトリーダーの椅子」と解く。その心は「どちらも『誰も座りたがらない』でしょう。」,
,フレーズ・慣用句型,冷える便座,お尻が物理的に冷たくなる,おしりがひえる,お尻が冷える（物理的な体感）,お尻が冷える（慣用句で、肝を冷やす、恐怖を感じる）,事故寸前の場面に遭遇した人,「冷える便座」とかけて、「事故寸前の場面に遭遇した人」と解く。その心は「どちらも『お尻が冷える』でしょう。」,
,多義語型,チクチクする毛布,肌に刺激を与える、触れると不快,さわる,肌を「触る」と不快,物事に「触る」（関わる、影響を与える）,触れられたくない秘密を持つ人,チクチクする毛布とかけて、触れられたくない秘密を持つ人と解く。その心は「どちらも『触ると厄介』でしょう。」,
,フレーズ・慣用句型,チクチクする毛布,肌に刺激がある、不快感を与える,はだにあわない,物理的に「肌に合わない」,環境や人間関係が「肌に合わない」,転勤先の職場の人間関係,チクチクする毛布とかけて、転勤先の職場の人間関係と解く。その心は「どちらも『肌に合わないと辛い』でしょう。」,
,完全な同音異義語型,チクチクする毛布,繊維が尖っている、刺激がある,はり,繊維が「針」のように感じる,時計の「針」や縫い物の「針」,古時計の修理職人,チクチクする毛布とかけて、古時計の修理職人と解く。その心は「どちらも『針が気になる』でしょう。」,
,多義語型,チクチクする毛布,肌に刺激がある、とげとげしい感触,とげがある,物理的に「とげがある」,言葉に「とげがある」（辛辣な表現）,口の悪い評論家,チクチクする毛布とかけて、口の悪い評論家と解く。その心は「どちらも『とげがある』でしょう。」,
,フレーズ・慣用句型,チクチクする毛布,体にまとわりつく、不快に感じる,からまる,体に「絡まる」と不快,物事が複雑に「絡まる」,複数の犯罪が関連した未解決事件,チクチクする毛布とかけて、複数の犯罪が関連した未解決事件と解く。その心は「どちらも『絡まるとややこしい』でしょう。」,
,完全な同音異義語型,チクチクする毛布,肌触りが粗い、ざらざらしている,あらい,肌触りが「粗い」,海が「荒い」、性格が「荒い」,漁師の仕事,チクチクする毛布とかけて、漁師の仕事と解く。その心は「どちらも『荒いと困る』でしょう。」,
,完全な同音異義語型,痛い角,ぶつかると怪我をして身体が痛む,いたむ,痛む（身体に苦痛を感じる）,傷む（食べ物などが腐敗する）,冷蔵庫に入れ忘れた野菜,痛い角とかけて、冷蔵庫に入れ忘れた野菜と解く。その心は『どちらも「痛む」でしょう。』,
,完全な同音異義語型,痛い角,物理的に突き出た「角（つの）」が邪魔で痛みを伴う,つのる,角（つの）（突き出た部分）,募る（感情や募集などが強まる、集まる）,寄付を募る団体,痛い角とかけて、寄付を募る団体と解く。その心は『どちらも「つのる」でしょう。』,
,多義語型,痛い角,物理的に鋭く、先が尖っている,とがる,尖る（物理的に鋭角になっている）,尖る（神経質になる、感情が鋭敏になる）,機嫌の悪い人,痛い角とかけて、機嫌の悪い人と解く。その心は『どちらも「尖る」でしょう。』,
,多義語型,痛い角,ぶつからないように物理的に避ける,さける,避ける（物理的な接触を回避する）,避ける（困難や責任から逃れる）,厄介な仕事から逃げる社員,痛い角とかけて、厄介な仕事から逃げる社員と解く。その心は『どちらも「避ける」でしょう。』,
,フレーズ・慣用句型,痛い角,物にぶつかると、物理的に鋭い箇所で「角が立つ」,かどがたつ,角が立つ（物理的に尖った部分が突き出る）,角が立つ（人間関係が悪化する、揉め事が起きる）,意見の合わない人たちの話し合い,痛い角とかけて、意見の合わない人たちの話し合いと解く。その心は『どちらも「角が立つ」でしょう。』,
,フレーズ・慣用句型,痛い角,ぶつかると物理的に「痛い目を見る」,いたいためをみる,痛い目を見る（物理的な痛みや怪我を経験する）,痛い目を見る（失敗や損失、ひどい経験をする）,無計画な事業に手を出した経営者,痛い角とかけて、無計画な事業に手を出した経営者と解く。その心は『どちらも「痛い目を見る」でしょう。』,
,完全な同音異義語型,回るコマ,回転が止まると機能しなくなる,とまる,回転が「止まる」,宿に「泊まる」,旅の途中の人,「回るコマ」とかけて、「旅の途中の人」と解く。その心は「どちらも『とまる』でしょう。」,
,完全な同音異義語型,回るコマ,紐を引っ張って回転させる,いと,巻きつける「糸」,物事の「意図」,計画を立てる人,「回るコマ」とかけて、「計画を立てる人」と解く。その心は「どちらも『いと』があるでしょう。」,
