文化名,発祥時代,概要説明,当事者,背景,攻撃,切り返し,評価ポイント,用語解説,引用元情報,編集方針
なぞなぞ（比喩と論理の謎解き）,鎌倉から室町時代,言葉の響きや物事の物理的な特徴を 別の事象に見立てて暗喩し 相手にその正体を論理的に推理させる宮廷由来の知的遊戯,後奈良天皇 宮中の貴族たち,宮中や寺院で日常的に使用される文房具などの道具を まるで生きている人間であるかのように擬人化し その描写の正確さと美しさを競った,出題者が「衣を着て 黒き髪をばうなじに垂らすもの（立派な衣服を身にまとい 黒い髪をうなじに長く垂らしている者は誰か）」と 宮廷の貴人のような姿を提示した,回答者は「筆（毛筆）」と 人間ではなく書道に用いる道具の名称を見事に言い当てた,筆のキャップや軸の部分を「衣服」に見立て 墨を含んだ動物の毛先を「黒い髪」に例えるという 道具の形状と使用状態を極めて雅な人間の姿へと美しく変換した観察力,後奈良院御撰何曽 擬人化 見立て,後奈良院御撰何曽,史実および原典に基づき 中高生が理解しやすいよう現代語訳および一部表現を加筆修正しています
とんち（論理の転換と詭弁）,室町時代,権力者からの無理難題や理不尽な要求に対し 相手の言葉の論理的破綻や前提条件を逆手に取って反撃する知的な言語遊戯,足利義満 一休宗純,室町幕府将軍の義満が 若き一休の頓知の噂を聞きつけ その知性を試すため 物理的に不可能な命令を下した,義満は「この屏風に描かれた虎が夜な夜な抜け出して暴れるので 縄で縛って捕まえてほしい」という絶対不可能な難題を突きつけた,一休は鉢巻きを締めて縄を持ち「さあ 早く虎を屏風から追い出してください 私が捕まえます」と 義満に捕獲の前提条件のクリアを要求した,「絵の虎を捕まえる」という理不尽な要求に対し「捕まえるから絵から出せ」と前提条件を相手に突き返すことで 相手の要求の矛盾を論理的に封じ込めた点,足利義満 一休宗純 頓知 一休咄,一休咄,史実および原典に基づき 中高生が理解しやすいよう現代語訳および一部表現を加筆修正しています
とんち（論理の転換と詭弁）,室町時代,権力者からの無理難題や理不尽な要求に対し 相手の言葉の論理的破綻や前提条件を逆手に取って反撃する知的な言語遊戯,桔梗屋 一休宗純,裕福な商人である桔梗屋が 一休を宴会に招いた際 屋敷の前の橋に立て札を置き 一休がどう切り抜けるかを試した,攻撃として立て札には「このはし渡るべからず（この橋を渡ってはいけない）」と書かれており 宴会に向かうための物理的な経路を言葉で封鎖した,一休は少しも慌てず「端（はし）を渡らずに 真ん中を渡ればよいのだろう」と言い放ち 橋の堂々と中央を歩いて渡り切った,「橋」と「端」という同音異義語を意図的に誤読する詭弁を用いることで 相手が設定した禁止のルールを文法的にすり抜け 堂々と目的を達成した言語的ハッキング,同音異義語 桔梗屋 一休咄,一休咄,史実および原典に基づき 中高生が理解しやすいよう現代語訳および一部表現を加筆修正しています
とんち（論理の転換と詭弁）,室町時代,権力者からの無理難題や理不尽な要求に対し 相手の言葉の論理的破綻や前提条件を逆手に取って反撃する知的な言語遊戯,寺の和尚 一休宗純,寺の和尚が 自分が独り占めして食べるための甘い水飴を壺に隠し 小僧たちには近づかせないための嘘をついた,和尚は「これは大人が食べれば薬だが 子供が食べれば死んでしまう猛毒だ」と嘘の前提を提示し 権威によって物理的なアクセスを禁じた,一休は和尚の留守中に水飴を全て食べ尽くし わざと和尚の大切な茶碗を割って号泣し「茶碗を割ったお詫びに 毒を飲んで死のうとしましたが 死ねません」と言い訳をした,相手が設定した「これは猛毒である」という嘘のルールを最大限に利用し 水飴の盗食と器の破壊という二つの罪を「責任を取るための自殺未遂」という完璧な論理にすり替えた点,水飴 一休咄,一休咄,史実および原典に基づき 中高生が理解しやすいよう現代語訳および一部表現を加筆修正しています
禅問答（公案による論理の超越）,鎌倉から室町時代,師匠から与えられる論理的に破綻した問い（公案）に対し 言葉の二元論（有無 善悪）を超越した絶対的な境地を提示して知性を競う禅宗の修行文化,趙州和尚 修行僧,仏教の教理では「生きとし生けるもの全てに仏の性質（仏性）がある」とされるが 修行僧があえて卑しいとされる犬を例に出して師匠の理解を試した,修行僧は「犬にも仏性はあるのですか」と問いかけ 「ある」と答えれば現実の卑しさと矛盾し「ない」と答えれば仏教の基本教理と矛盾する二重の罠を仕掛けた,趙州和尚は「無（む）」と一言だけ答えた,肯定と否定のどちらを選んでも破綻する論理的トラップに対し 概念そのものを破壊する「無」という言葉をぶつけることで 質問者の二元論的な思考の枠組みを根底から粉砕した点,趙州和尚 仏性 無門関 狗子仏性 公案,無門関,史実および原典に基づき 中高生が理解しやすいよう現代語訳および一部表現を加筆修正しています
禅問答（公案による論理の超越）,鎌倉から室町時代,師匠から与えられる論理的に破綻した問い（公案）に対し 言葉の二元論（有無 善悪）を超越した絶対的な境地を提示して知性を競う禅宗の修行文化,倶胝和尚 小僧,倶胝和尚は 誰から何を問われても 常に指を一本立てるだけで答えており 寺の小僧がその真似をして周囲に得意げに振る舞っていた,和尚の教えの表面的なポーズだけを模倣し 禅の本質を理解しないまま「指を立てれば答えになる」と論理を矮小化して権威を利用した小僧の態度,倶胝和尚は刃物で小僧の指を切り落とし 泣いて逃げる小僧を呼び止め 振り返った小僧に向かって和尚はいつものように指を一本立てて見せた,言葉や形（指）という記号に依存していた小僧に対し 物理的にその記号を奪った上で 再び記号を提示することで「本質は形にはない」という真理を暴力的なまでの直接性で叩き込んだ点,倶胝和尚 悟り 無門関 倶胝竪指,無門関,史実および原典に基づき 中高生が理解しやすいよう現代語訳および一部表現を加筆修正しています
禅問答（公案による論理の超越）,鎌倉から室町時代,師匠から与えられる論理的に破綻した問い（公案）に対し 言葉の二元論（有無 善悪）を超越した絶対的な境地を提示して知性を競う禅宗の修行文化,南泉和尚 趙州和尚,寺の東堂と西堂の僧侶たちが 一匹の猫の所有権を巡って 日常の執着を捨て去るべき禅僧らしからぬ醜い口論を繰り広げていた,南泉和尚は猫の首に刃物を突きつけ「禅の真理にかなう言葉を言え 言えなければ猫を斬る」と 究極の言語的決断を僧侶たちに迫った,僧侶たちが誰も答えられず猫が斬られた後 話を聞いた趙州和尚は 自分の履いていた靴を脱いで頭に乗せ 無言のまま部屋を出て行った,論理や言葉に詰まってしまった僧侶たちに対し 趙州は「靴を頭に乗せる」という論理が完全に転倒した狂気の行動を示すことで 争いそのものの無意味さを鮮やかに表現した点,南泉和尚 南泉斬猫 趙州和尚 無門関,無門関,史実および原典に基づき 中高生が理解しやすいよう現代語訳および一部表現を加筆修正しています
狂言（言葉の裏をかく喜劇）,室町時代,主従関係や社会的な権威に対して 弱者が言葉の矛盾や比喩のルールを逆手に取り 詭弁や屁理屈を用いて合法的に反撃する様子を描いた演劇文化,主人 太郎冠者・次郎冠者,留守にする主人が 自分の砂糖を召使いに食べられないよう 壺の中身は猛毒であると嘘をついて外出を命じた,主人は「この壺の中身は附子という猛毒であり その風に当たっただけでも死んでしまう」と 言葉による恐怖で召使いの行動を強く制限した,召使いは中身の砂糖を完食した上で 主人の大切な掛け軸と茶碗を破壊し「宝物を壊した責任を取るため 猛毒を食べて死のうとしたが死にきれません」と泣いて見せた,主人が自ら設定した「壺の中身は猛毒である」という虚偽のルールを 絶対的な事実として援用することで 盗食と器物破損という二つの罪の責任を完全に免除させる見事な論理構築,附子 太郎冠者 次郎冠者 狂言,狂言記,史実および原典に基づき 中高生が理解しやすいよう現代語訳および一部表現を加筆修正しています
狂言（言葉の裏をかく喜劇）,室町時代,主従関係や社会的な権威に対して 弱者が言葉の矛盾や比喩のルールを逆手に取り 詭弁や屁理屈を用いて合法的に反撃する様子を描いた演劇文化,山伏 柿の木の持ち主,修行を積んで霊力を持つと誇る山伏が 空腹に耐えかねて他人の柿の木に登り 盗み食いをしているところを 木の持ち主に見つかってしまった,持ち主はわざと気づかないふりをし「あれはカラスか 猿か もしそうなら鳴くはずだが」と 木の上の泥棒に対して動物の真似をするよう間接的に強要した,権威ある山伏は 盗みがバレることを恐れるあまり 言われるがままにカラスや猿の鳴き真似をし 最終的に「トビなら飛ぶはずだ」と言われて木から飛び降り大怪我をした,相手のプライドの高さを逆手に取り 直接非難するのではなく「動物ならこうするはずだ」という条件付きの言語ゲームに引きずり込み 自発的に屈辱的な行動をとらせた心理戦の妙,山伏 修験道 柿山伏,狂言記,史実および原典に基づき 中高生が理解しやすいよう現代語訳および一部表現を加筆修正しています
狂言（言葉の裏をかく喜劇）,室町時代,主従関係や社会的な権威に対して 弱者が言葉の矛盾や比喩のルールを逆手に取り 詭弁や屁理屈を用いて合法的に反撃する様子を描いた演劇文化,住持 新発意（新米の僧）,寺の住持が 借り物に来る村人を体よく断るため 新米の僧に対して「傘なら骨と皮が離れたと言え」など 断り文句の比喩のルールを教え込んだ,新米の僧はルールの適用条件を理解せず 馬を借りに来た者にも「骨と皮が離れた」と答え 住持から「馬なら草を食みに出たと言え」とルールを修正された,その後 住持に対する宴会の招待状が届いた際 新米の僧は「住持は今 野原に草を食みに出かけております」と 教えられた断り文句をそのまま適用して断ってしまった,師匠から教えられた「比喩を用いた断り文句」のルールを その前提となる文脈を完全に無視して機械的に適用することで 権威ある師匠自身を家畜と同等に貶めた滑稽さ,住持 新発意 骨皮,狂言記,史実および原典に基づき 中高生が理解しやすいよう現代語訳および一部表現を加筆修正しています
なぞかけ（同音異義の連想遊戯）,江戸時代,一見無関係な二つの事物を提示し 同音異義語や掛詞を用いて共通点を見出すことで 論理の飛躍と着地の鮮やかさを競う大衆的な言葉遊び,寄席の芸人 観客,江戸時代の寄席において 芸人が観客からその場で与えられたお題に対し 即興で謎を解いてみせることで 頭の回転の速さを披露した,観客が「お茶」という 日常的なお題を提示し これに全く無関係なものを掛けて謎を成立させるよう要求した,芸人は即座に「お茶とかけて 医者と解く その心は どちらも さじをなげる（茶匙を入れる 治療を諦める）でしょう」と答えた,「お茶」と「医者」という全く異なる概念を「匙を投げる」という一つの慣用句の二重の意味で完璧に結びつけた 即興の連想能力,なぞかけ 寄席 掛詞 匙を投げる,江戸落語 伝承,史実および原典に基づき 中高生が理解しやすいよう現代語訳および一部表現を加筆修正しています
なぞかけ（同音異義の連想遊戯）,江戸時代,一見無関係な二つの事物を提示し 同音異義語や掛詞を用いて共通点を見出すことで 論理の飛躍と着地の鮮やかさを競う大衆的な言葉遊び,寄席の芸人 観客,庶民の生活を脅かす災害や日常のトラブルすら 笑いのめして知的なパズルに変換してしまう 江戸の町人文化のたくましさ,観客が「火事」という 日常的で恐ろしい脅威であるお題を提示し 洒落の効いた解答を求めた,芸人は「火事とかけて 夫婦喧嘩と解く その心は どちらも やける（家が焼ける 嫉妬で妬ける）でしょう」と返した,恐ろしい「火事」という題材を「夫婦喧嘩」という日常の些細なトラブルに縮小し「やける」という同音異義語で見事に意味を反転させたユーモア,なぞかけ 夫婦喧嘩 同音異義語,江戸落語 伝承,史実および原典に基づき 中高生が理解しやすいよう現代語訳および一部表現を加筆修正しています
なぞかけ（同音異義の連想遊戯）,江戸時代,一見無関係な二つの事物を提示し 同音異義語や掛詞を用いて共通点を見出すことで 論理の飛躍と着地の鮮やかさを競う大衆的な言葉遊び,寄席の芸人 観客,季節の変化や日常の些細な情景を観察し 言葉の響きの面白さを利用して 別の情景へと視点をスライドさせる遊び心,観客が「うどん」という 庶民のありふれた食べ物をお題として提示し 面白い連想を求めた,芸人は「うどんとかけて 初夏と解く その心は どちらも つゆ（汁 梅雨）がつきものでしょう」と返した,食べ物の「汁」と季節の「梅雨」という全く異なるスケールの「つゆ」を接続し 日常の食事風景を季節感のある言葉遊びに昇華させた点,なぞかけ 同音異義語,江戸落語 伝承,史実および原典に基づき 中高生が理解しやすいよう現代語訳および一部表現を加筆修正しています
川柳（人間社会の風刺と観察）,江戸時代,前句付という連歌の遊びから独立し 五七五の定型に庶民の日常や人間の滑稽さ 社会への風刺を鋭く詠み込む大衆文芸,柄井川柳 匿名の投稿者,柄井川柳という選者が 庶民から大量に投稿される句を審査し 優れた五七五の句を「誹風柳多留」という本にまとめて出版した,社会の中で権力を持ち 庶民から賄賂を受け取る武士や役人に対する 庶民たちの潜在的な不満と批判の感情,匿名の投稿者が「役人の子はにぎにぎをよく覚え（役人の赤ん坊は手を握るのが上手いが それは親が賄賂を握り慣れているからだろう）」と詠み飛ばした,赤ん坊の無邪気な「にぎにぎ」という動作と 汚職役人が賄賂を受け取る生々しい行為を重ね合わせ 権力者を鋭くかつユーモラスに風刺した視点の妙,前句付 誹風柳多留 柄井川柳 にぎにぎ,誹風柳多留,史実および原典に基づき 中高生が理解しやすいよう現代語訳および一部表現を加筆修正しています
川柳（人間社会の風刺と観察）,江戸時代,前句付という連歌の遊びから独立し 五七五の定型に庶民の日常や人間の滑稽さ 社会への風刺を鋭く詠み込む大衆文芸,匿名の投稿者 日常の矛盾,人間の不合理な行動や 日常生活の中で誰もが経験する気まずい瞬間を わずか十七音で映像的に切り取る観察眼の競い合い,にわか雨に降られて他人の家の軒先で雨宿りをしていたが なかなか止まず 逆に雨足が強くなってきてしまった気まずい状況,「本降りになって出てゆく雨宿り（小雨の時は雨宿りしていたのに 諦めがついて土砂降りになってから結局濡れて帰っていく）」と詠んだ,人間の不合理な心理とタイミングの悪さを 切り取るように鮮やかに言語化し 誰もが経験する日常の矛盾を笑いに変えた共感性,誹風柳多留 雨宿り,誹風柳多留,史実および原典に基づき 中高生が理解しやすいよう現代語訳および一部表現を加筆修正しています
川柳（人間社会の風刺と観察）,江戸時代,前句付という連歌の遊びから独立し 五七五の定型に庶民の日常や人間の滑稽さ 社会への風刺を鋭く詠み込む大衆文芸,匿名の投稿者 親の情愛,親の愛情や家族の関係性といった普遍的なテーマを 道徳的に語るのではなく 滑稽な身体の動きや情景として客観的に描写する技術,夏の暑い夜 子供が寝苦しそうにしているのを見た親が 自分の眠気と子供への愛情の板挟みになるという日常の風景,「寝ていても団扇の動く親心（親は自分が半分眠っていても 無意識に子供のために団扇を扇ぎ続けているものだ）」と詠み込んだ,親の深い愛情を「教訓」として語るのではなく「眠っていても手が動く」という滑稽でリアルな身体の動きを通して 映像的に表現した観察眼,誹風柳多留 親心,誹風柳多留,史実および原典に基づき 中高生が理解しやすいよう現代語訳および一部表現を加筆修正しています
狂歌（本歌取りと痛烈な政治風刺）,江戸時代,伝統的な和歌の五七五七七の形式を用いながら 古典の名歌のパロディや社会風刺 滑稽な内容を盛り込んで知識を競う言葉遊び,匿名の狂歌師 松平定信,老中松平定信が寛政の改革を行い 厳格な質素倹約を強制したため 江戸の町は活気を失い 庶民は前任の田沼意次の時代を懐かしんだ,幕府の最高権力者である松平定信が 庶民の娯楽や贅沢を徹底的に弾圧し 息苦しい道徳的な社会を押し付けてきたという圧倒的な権力と抑圧,「白河の清きに魚のすみかねて もとの濁りの田沼恋しき（定信の政治は水が綺麗すぎて魚が住めない 濁っていた田沼時代が恋しい）」と詠んで市中に貼り出した,権力者の名前「白河（定信の領地）」と「田沼」を清濁の水に例え 和歌の形式という高度な教養のベールで包んで幕府を批判した知的な抵抗,狂歌 寛政の改革 松平定信 田沼意次 落首,狂歌 落首,史実および原典に基づき 中高生が理解しやすいよう現代語訳および一部表現を加筆修正しています
狂歌（本歌取りと痛烈な政治風刺）,江戸時代,伝統的な和歌の五七五七七の形式を用いながら 古典の名歌のパロディや社会風刺 滑稽な内容を盛り込んで知識を競う言葉遊び,匿名の狂歌師 ペリー艦隊,幕末にペリーが率いる黒船が四隻で浦賀に来航したことで 太平の眠りをむさぼっていた幕府と江戸の町は大パニックに陥った,未知の巨大な蒸気船艦隊という圧倒的な軍事的脅威と それに対処できず右往左往する無能な幕府という 絶望的で混乱した社会的状況,「泰平の眠りを覚ます上喜撰 たった四杯で夜も眠れず（たった四隻の蒸気船のせいで 幕府は夜も眠れないほど慌てている）」と詠み捨てた,高級なお茶である「上喜撰」と「蒸気船」 お茶の「四杯」と船の「四隻」を掛詞にし 国家の危機すら知的なパズルに変換して恐怖を克服した点,上喜撰 蒸気船 掛詞 黒船来航 狂歌,狂歌 落首,史実および原典に基づき 中高生が理解しやすいよう現代語訳および一部表現を加筆修正しています
狂歌（本歌取りと痛烈な政治風刺）,江戸時代,伝統的な和歌の五七五七七の形式を用いながら 古典の名歌のパロディや社会風刺 滑稽な内容を盛り込んで知識を競う言葉遊び,大田南畝（蜀山人） 自身の死,江戸時代中期を代表するトップクラスの狂歌師であった大田南畝が いよいよ自身の寿命が尽きようとする臨終の床にあった,「人間の死」という 誰もが逃れられない根源的な恐怖と 自身の命がまさに今失われようとしているという絶望的な現実,死の直前に「今までは人のことだと思ひしに 俺が死ぬとはこいつぁたまらん（今まで死は他人のものだと思っていたが いざ自分が死ぬとは）」と詠んだ,死という究極の恐怖に対して 伝統的な辞世の句の雅な表現を放棄し 最後まで徹底した俗語とユーモアを貫くことで 死の恐怖すら笑い飛ばした美学,大田南畝 蜀山人 狂歌 辞世の句,大田南畝辞世の句,史実および原典に基づき 中高生が理解しやすいよう現代語訳および一部表現を加筆修正しています
前句付（連想と機知の付合）,江戸時代,出題者が提示する七七の短い句に対して 参加者が五七五の句を付け足して一つの世界を完成させる庶民参加型の言語パズル,出題者（点者） 無名の町人たち,江戸の町で急速に普及した大衆文芸であり 優秀な句は高得点を与えられて出版されるため 庶民たちはこぞって機知を競い合った,出題者が「さてさて腹のたつことよなあ（まったく腹が立つことだ）」という七七の句を提示し これに続く具体的な怒りの情景を五七五で描写せよと要求した,参加者は「にきびをばつぶしたあとに蚊がとまり（ニキビを潰したばかりの痛い場所に ちょうど蚊が止まって血を吸おうとしている）」と返した,抽象的な「腹が立つ」という感情に対し 誰もが日常で経験する極めて具体的で滑稽な身体的イライラを接続し 普遍的な共感と笑いを生み出した点,前句 付句 懸賞 誹風柳多留,誹風柳多留,史実および原典に基づき 中高生が理解しやすいよう現代語訳および一部表現を加筆修正しています
前句付（連想と機知の付合）,江戸時代,出題者が提示する七七の短い句に対して 参加者が五七五の句を付け足して一つの世界を完成させる庶民参加型の言語パズル,出題者（点者） 無名の町人たち,前句と付句の間にあえて論理の飛躍を持たせ 読者にその間を埋めさせることで 驚きと恐怖をユーモアに変換する技術が競われた,出題者が「さて恐ろしきさて恐ろしき（ああ恐ろしい ああ恐ろしい）」という七七の句を提示し 何か恐ろしい情景を五七五で表現せよと求めた,参加者は「やみの夜にべちゃりと踏んだ生あたたかさ（真っ暗な夜道で 足元に何か生温かく潰れるものを踏んでしまった感触）」と返した,視覚的な恐怖ではなく「真っ暗闇」「生温かい」「べちゃり」という触覚と聴覚の不快感を極限まで刺激する言葉を選び出し 想像力を掻き立てる見事な構成力,前句付 万句合 武玉川,武玉川,史実および原典に基づき 中高生が理解しやすいよう現代語訳および一部表現を加筆修正しています
前句付（連想と機知の付合）,江戸時代,出題者が提示する七七の短い句に対して 参加者が五七五の句を付け足して一つの世界を完成させる庶民参加型の言語パズル,出題者（点者） 無名の町人たち,当時の身分制度や権威に対する庶民の潜在的な不満を 言葉遊びという安全なフィルターを通して合法的に風刺する知的ゲーム,出題者が「神や仏の罰のあたらぬ（神仏の罰が当たらないものとは何か）」という七七の句を提示し この条件を満たす不条理な事象を五七五で答えよと謎掛けをした,参加者は「大名の行列先へ犬がかけ抜け（大名行列の前を 犬が平気で横切っていく様子）」と返した,人間であれば無礼討ちにされる大名行列の厳しい身分制度も 動物である犬には全く通用しないという痛快な事実を指摘し 権威を笑い飛ばした社会観察眼,大名行列 無礼討ち 前句付,誹風柳多留,史実および原典に基づき 中高生が理解しやすいよう現代語訳および一部表現を加筆修正しています
雑俳（大衆化された言葉のパズル）,江戸時代,伝統的な俳諧のルールを大幅に簡略化し 最初の文字や最後の文字を固定するなどの制限を設けて 大衆がクイズ感覚で楽しめるようにした言葉遊びの総称,選者（俳諧師） 町人や職人,俳句の高度な教養を持たない庶民でも 決まったお題に言葉を当てはめるだけで 手軽に文芸に参加できるエンターテインメントとして大流行した,上の五文字を固定する「冠付」という形式で 出題者が「あきれたる（呆れてしまう）」というお題を提示し 残りの七五を作れと要求した,参加者は「あきれたる（冠） 女房に持つ目出度さよ（このような呆れた妻を持っている私は なんと幸せ者なのだろうか）」と返した,「呆れる」という否定的なお題に対し あえて「目出度い（幸せだ）」という真逆の感情をぶつけ 夫婦間の呆れるほどの愛情や 愚かさを愛でる庶民の肯定的なエネルギーを表現した点,雑俳 冠付 選者,雑俳拾遺,史実および原典に基づき 中高生が理解しやすいよう現代語訳および一部表現を加筆修正しています
雑俳（大衆化された言葉のパズル）,江戸時代,伝統的な俳諧のルールを大幅に簡略化し 最初の文字や最後の文字を固定するなどの制限を設けて 大衆がクイズ感覚で楽しめるようにした言葉遊びの総称,選者（俳諧師） 町人や職人,日常生活の失敗や後悔を 定型フォーマットに落とし込むことで 個人の悲劇を大衆の笑いへと変換する機能を持っていた,下の五文字を固定する「沓付」という形式で 出題者が「……とおもひきや（……と思っていたのに）」という 後悔や予想外の結末を導くお題を提示した,参加者は「大名の供をするとおもひきや（大名の立派な行列の供立てとして 華々しく歩けると思っていたのに 実態はただの荷物持ちだった）」と返した,出世や華やかな仕事を夢見て江戸に出てきた若者の 現実との残酷なギャップを わずか十二文字の前提部分で映像的に描き出し 自虐的な笑いへと昇華させた構成力,沓付 雑俳 供立て,雑俳集成,史実および原典に基づき 中高生が理解しやすいよう現代語訳および一部表現を加筆修正しています
雑俳（大衆化された言葉のパズル）,江戸時代,伝統的な俳諧のルールを大幅に簡略化し 最初の文字や最後の文字を固定するなどの制限を設けて 大衆がクイズ感覚で楽しめるようにした言葉遊びの総称,選者（俳諧師） 町人や職人,特定の文字を句の頭に配置するという 現代のアクロスティック（折句）に相当する 高度な文字配列のパズルゲーム,指定された文字を各句の頭に置く「折句」という形式で 出題者が「か・ら・す（カラス）」の三文字を 五七五の頭に配置して意味の通る文を作れという高度な制約を課した,参加者は「か 傘の ら 喇叭とのけぞる す 凄まじさ（か・ら・かさの ら・っぱとのけぞる す・さまじさ＝傘が強風でラッパのように反り返ってしまう凄まじい光景）」と返した,「か・ら・す」という文字配列の厳しい制約を完全に守りながら 強風で傘がおちょこになるという江戸の日常のダイナミックな瞬間を「ラッパ」という擬音語を交えて見事に切り取った言語処理能力,折句 雑俳 文字配列,折句雑俳集,史実および原典に基づき 中高生が理解しやすいよう現代語訳および一部表現を加筆修正しています
狂句（名句のパロディと風刺）,江戸時代,松尾芭蕉などの著名な俳句（本句）の形式や言葉を意図的に模倣しつつ 内容を日常的・滑稽なものにすり替えることで 権威を笑いに変える本句取りの遊戯,狂句師（町人） 伝統的な俳諧の権威,古典や名句の知識が庶民の間にも広く浸透したことで 誰もが知っている有名な句をフリ（前提）として使い 見事なオチをつけるパロディ文化が成熟した,松尾芭蕉の歴史的名句「古池や蛙飛び込む水の音」という 静寂と風雅を極めた誰もが知る完璧な芸術作品が 前提となる教養として立ちはだかった,狂句師は「古池へ草履片方飛び込んだ（静かな古池に 足を滑らせて片方の草履を落としてしまった）」と 芭蕉の句の骨格をそのままに日常のドジな風景へと書き換えた,芸術の極致である「カエルと水音」を 泥臭い「片方の草履」にすり替えることで 崇高な世界を一瞬にして庶民の滑稽な日常へと引きずり下ろした 破壊的で鮮やかな視点の転換,狂句 パロディ 本句取り 松尾芭蕉,誹風柳多留,史実および原典に基づき 中高生が理解しやすいよう現代語訳および一部表現を加筆修正しています
狂句（名句のパロディと風刺）,江戸時代,松尾芭蕉などの著名な俳句（本句）の形式や言葉を意図的に模倣しつつ 内容を日常的・滑稽なものにすり替えることで 権威を笑いに変える本句取りの遊戯,狂句師（町人） 伝統的な俳諧の権威,歴史的な悲劇や教訓めいた重厚なテーマを あえて下品でマヌケなモチーフで上書きすることで 深刻さを無効化する言語的ハッキング,松尾芭蕉の有名な紀行文奥の細道に登場する「夏草や兵どもが夢の跡」という 源義経らの悲劇を詠んだ壮大で歴史的な名句のパロディ化に挑んだ,狂句師は「夏草やふんどし一つ落ちて居る（かつて武士たちが戦ったというこの悲劇の跡地に なぜかふんどしが一つだけポツンと落ちている）」と返した,壮大な歴史のロマンや無常観という重々しいテーマに対して「落ちているふんどし」という極めて視覚的でマヌケな異物を混入させ 読者の感動を強制的に笑いへと強制終了させた手腕,奥の細道 兵どもが夢の跡 パロディ,狂句集,史実および原典に基づき 中高生が理解しやすいよう現代語訳および一部表現を加筆修正しています
狂句（名句のパロディと風刺）,江戸時代,松尾芭蕉などの著名な俳句（本句）の形式や言葉を意図的に模倣しつつ 内容を日常的・滑稽なものにすり替えることで 権威を笑いに変える本句取りの遊戯,狂句師（町人） 伝統的な俳諧の権威,表面的な美しさや道徳的な教訓を良しとする風潮に対し 庶民の実用主義と本音をぶつけることで 偽善を暴き出すユーモア,加賀の千代女が詠んだとされる「朝顔に釣瓶とられてもらい水」という 朝顔の美しさを尊んで水を他所にもらいに行くという 風雅で道徳的な名句がターゲットにされた,狂句師は「朝顔に釣瓶とられて手を洗ふ（朝顔に井戸のバケツが絡まってしまったので もう面倒だからそのまま手を洗ってしまおう）」と 実用主義の句に変換した,原句が持つ「花を愛でるための自己犠牲」という美しい道徳観を 庶民の「面倒くさいからこれでいいや」という合理的で怠惰な本音で容赦なくハッキングし 偽善を笑い飛ばした点,加賀の千代女 釣瓶 もらい水 狂句,狂句集,史実および原典に基づき 中高生が理解しやすいよう現代語訳および一部表現を加筆修正しています
笠付,江戸時代,出題者が提示した五音の言葉を笠として参加者が七音と五音を付け足して十七音の句を完成させる前句付の一種,点者 出題を行う選者 と 参加者 町人や武士などの大衆,庶民の生活苦や借金取りとの駆け引きが日常的だった江戸の町社会,点者が「うれしさよ」という単純な喜びを表す五音を提示し ありきたりな感情をどう裏切るかを要求,参加者が「質屋の帳面 鼠食い」と続け 借金の証拠が消滅するブラックユーモアで返答,単純なお題に対して貧困という現実的な苦難を笑いに転換する発想の飛躍が評価される,点者 俳諧や川柳の作品を審査し点数をつける選者 質屋 江戸庶民が生活資金を借りるために品物を預けた金融業者,江戸中期の前句付や川柳における一般的な作風に基づく,史実および原典に基づき 中高生が理解しやすいよう現代語訳および一部表現を加筆修正しています
笠付,江戸時代,出題者が提示した五音の言葉を笠として参加者が七音と五音を付け足して十七音の句を完成させる前句付の一種,点者 出題を行う選者 と 参加者 町人や武士などの大衆,封建社会における武士の権威と それに対する庶民の冷めた視線が存在した社会情勢,点者が「見事なり」という称賛の言葉を提示し 何を褒めるのかという大喜利的な制約を課す,参加者が「腹の立つとき 斬る大根」と続け 怒りに任せて大根を切る滑稽な姿で称賛を裏切る,威勢の良い言葉に対して生活感あふれる台所の風景を対比させ 緊張を緩和する技術,前句付 七七の句に対して五七五を付ける あるいは五音に対して七五を付ける等の言葉遊びの総称,誹風柳多留などの江戸期川柳集の表現形式に基づく,史実および原典に基づき 中高生が理解しやすいよう現代語訳および一部表現を加筆修正しています
笠付,江戸時代,出題者が提示した五音の言葉を笠として参加者が七音と五音を付け足して十七音の句を完成させる前句付の一種,点者 出題を行う選者 と 参加者 町人や武士などの大衆,狭い長屋での共同生活において 人間関係の摩擦をユーモアで回避する必要があった環境,点者が「おそろしや」という恐怖を示す五音を提示し 恐ろしい対象の意外性を問う,参加者が「命知らずの 水すまし」と続け 巨大な怪物ではなく水面を滑る小さな虫を誇張して表現,恐怖という強い感情を微小な昆虫に向けることで スケール感の落差を利用した知的な言葉遊び,長屋 江戸の庶民が暮らした集合住宅 水すまし 水面を素早く泳ぎ回る小さな昆虫,万句合などの庶民参加型文芸における句作の手法に基づく,史実および原典に基づき 中高生が理解しやすいよう現代語訳および一部表現を加筆修正しています
