象限,対象国,類型,事象・噂の名称,実践内容・信じられている内容,社会的機能,心理的効果,[事実確認]学術的背景・反証,事例1：状況,事例1：表現,事例1：分析,事例2：状況,事例2：表現,事例2：分析,事例3：状況,事例3：表現,事例3：分析
第4象限,ウズベキスタン,【事実】,アスキヤ（Askiya）による言語遊戯,特定のテーマについて直接的な言葉を避けながら、隠喩や二重意味（Qofiya/Payrov）を用いて相手をユーモラスにからかう言葉遊び。,直接的な対立を避けつつ知性を競い合い、集団内の不満をガス抜きする。,厳しい社会的制約の中で、タブーや批判を笑いに昇華することでのカタルシス。,フェルガナ盆地を中心に発展した口承伝統であり、ユネスコの無形文化遺産にも登録されている社会的事実。,お茶見（チョイホナ）での男性同士の談笑,"「Sizning qovuningiz pishibdi, lekin ichi bo'sh.（あなたのメロンは熟しているが中身が空だ）」",相手の容姿（頭）や知性をメロンに例えて間接的にからかう。,アスキヤの競技,「Anor kabi qizarib ketdingiz.（ザクロのように真っ赤になりましたね）」,相手が論破されて照れている様子を、果物のお題に沿って指摘する。,宴席での忠告,"「Uzumning suvini ko'p ichmang, aqlga zarar.（ブドウの水を飲みすぎるな、理性に響くぞ）」",直接「酒を飲むな」と言わず、隠喩で忠告・からかいを行う。
第1象限,カザフスタン,【事実】,ジェティ・アタ（Jeti Ata）とル（Ru）の確認,初対面のカザフ人同士が、互いの「ル（部族）」と「7代前までの父系祖先（ジェティ・アタ）」を尋ね合う実践。怠ると近親相姦のタブーを犯すリスクがある。,遊牧社会における近親婚の防止と、巨大な血縁ネットワークにおける立ち位置の確認。,互いの出自を確認することでの安心感と、同族意識の形成。,遊牧民の伝統的な社会規範であり、ソ連時代の定住化政策を経てもなお、現代の結婚や社会関係において重要な事実として機能している。,初対面の年配者からの挨拶,「Qay rudansyn?（君はどの部族出身かね？）」,単なる自己紹介ではなく、互いの系譜上の距離を測るための必須の質問。,結婚の挨拶と親族調査,「Jeti ata?a deyin qyz alysuga bolmaidy.（7代前までは娘を娶ってはいけない）」,このルールに基づき、双方の系譜を遡って口頭で確認し合う。,同族だと分かった時の喜び,「Biz tuyspyz g'oy!（私たちは親戚じゃないか！）」,遠い祖先が同じだと判明した瞬間に、他人が「身内」に変わる。
第2象限,カザフスタン,【都市伝説】,「Qazaq（カザフ）」の白い雁伝説,国名・民族名である「Qazaq」は「Qaz（雁）」と「Aq（白い）」から成り、天から降りてきた白い雁が美しい乙女に変わり祖先になったという民間語源。,神話的な起源を持つ特別な民族であるというロマンチックな連帯感の創出。,美しい自然の鳥と自らのルーツを結びつけることによる美的カタルシスと郷土愛。,学術的にはテュルク語で「独立した者」「放浪する者」を意味する言葉が語源とされるが、民間伝承や児童文学では「白い雁」説が広く語り継がれている。,子供向けの絵本や昔話の読み聞かせ,「Aq qaz qyzga ainalypty...（白い雁が少女に変わり…）」,言語の響きから作られたバクロニム的な神話を事実として教える。,観光キャンペーンや芸術作品,「Qazaq - aq qazdyn urpaghy.（カザフは白い雁の末裔）」,民族のシンボルとして白い鳥のモチーフを視覚的・言語的に多用する。,名前の由来を語る日常会話,「Bizdin atymyz aq qazdan shyg'an.（我々の名前は白い雁から来ているのだ）」,ロマンチックな語源を信じることで自民族の美しさをアピールする。
第3象限,カザフスタン,【事実】,「マンベット」と「シャラ・カザフ」の分断,ロシア化された都市部のカザフ人が地方出身者を「マンベット（田舎者）」と見下し、逆に地方出身者がロシア語しか話せない層を「シャラ・カザフ（半端なカザフ）」と攻撃する。,言語と居住地に基づく階層化と、コミュニティの分断・境界線の画定。,相手をラベリングすることで自らの文化的正当性を確保し、不安や劣等感を防衛する。,歴史的なロシア化と、独立後の急激なカザフ語復権・都市化という社会構造の変化から生まれた現実の社会問題・言語対立。,都市部での交通トラブルやマナー違反,「Tipichnyi mambet!（典型的なマンベットだ！）」,地方出身者の振る舞いを「未開」とみなし、差別的なラベルを貼る。,カザフ語が流暢に話せない若者への批判,「Sen shala qazaqsyn ba?（お前はシャラ・カザフか？）」,民族的アイデンティティが「半分」しかないと見なし、言語能力で帰属意識を否定する。,就職活動やビジネスでの偏見,「Bizge naghyz qazaq kerek.（我々には『真のカザフ』が必要だ）」,言語能力や出自を基準に「本物」と「偽物」を区別し、排除の論理として使う。
第4象限,カザフスタン,【事実】,アイティス（Aitys）の詩的論争,2人の詩人（アキン）がドンブラを弾きながら、即興の詩で互いの出身地や部族、政治的状況などを風刺し合い論破を競う。,社会的不満や部族間の対立を、芸術的でユーモラスな空間の中で安全にガス抜きする。,鋭い批判が美しい韻律に乗ることで生じるカタルシスと、笑いによる緊張緩和。,カザフの遊牧社会で古くから情報伝達や紛争解決の手段として機能してきた口承伝統。現在もテレビ番組として絶大な人気を誇る事実。,地域の代表同士のアイティス大会,「Sening ruing qashqan g'oy...（お前の部族は逃げ出してばかりだったじゃないか…）」,歴史的な部族間の対立を、観客の笑いを取るためのジョークとして用いる。,政府の汚職や社会問題への風刺,"「Joldarymyz shuqyr, auyzlar jabqan.（道は穴だらけ、口は塞がれている）」",直接批判すれば罰せられる内容を、詩の比喩とユーモアに包んで権力をからかう。,相手の容姿や即興力の不足をからかう,"「Sozing bitti, dombyrang jylap tur.（お前の言葉は尽き、ドンブラが泣いているぞ）」",直接罵倒するのではなく、音楽的・詩的才能の欠如を美しい比喩で攻撃する。
第1象限,キルギス,【事実】,テルゴー（Terg??）による親族名忌避,嫁（ケリン）が夫の年長の親族の本当の名前を呼ぶことを禁じられ、別の呼び名を作ったり、名前に含まれる一般名詞も別の単語に言い換えるルール。,厳格な家父長制と敬老精神の維持、および他家から来た嫁の服従の儀式化。,禁忌を守ることで「良き嫁」としての承認を得る安心感と、一族に対する畏敬の念の刷り込み。,キルギスをはじめとする中央アジアの遊牧民社会に広く見られる言語タブー（回避言語）の事実。,義父（名前がTemir＝鉄）について話す時,"「Temir demey, 'qara n?rze' deymin.（テミルと言わず『黒い物』と呼びます）」",義父の名前そのものだけでなく、同じ発音を持つ一般名詞の使用も避ける。,義理の兄を呼ぶ時,「Erke bola（甘えん坊）」や「Aka」などの代名詞,本名を呼べないため、家族内で通じる独自の代名詞やあだ名を新しく発明する。,うっかり名前を呼んでしまった時の周囲の反応,「Uyaty joq kelin!（恥知らずな嫁だ！）」,タブーを破ることが単なる失言ではなく、一族への重大な侮辱と見なされる。
第2象限,キルギス,【都市伝説】,「Kyrgyz（キルギス）」の40人の乙女伝説,キルギスという名前は「Qyrq（40）」と「Qyz（娘）」から来ており、伝説に登場する40人の乙女がキルギス人の祖先であると信じられている。,民族の起源を神話化し、国旗のモチーフなどと結びつけることでのナショナル・アイデンティティの強化。,神聖な祖先を持つという民族的誇りと、数字の「40」に対する呪術的・審美的な愛着。,学術的にはテュルク語の「40の部族」または「赤いオグズ」などが語源とされるが、民間ではロマンチックな「40人の乙女」伝説が支持されている。,国旗のデザインに関する学校での教育,「Bizdin tuudaghy 40 nur - qyrq qyzdy bildiret.（我々の旗の40の光は、40人の娘を意味する）」,民間語源が国家の公式シンボルの解釈として半ば公認されている。,観光客へのガイドや説明,「Kyrgyz degen qyrq qyzdan kelgen.（キルギスとは40人の娘から来ているのだ）」,民族のルーツを分かりやすくロマンチックなストーリーとして他者に伝える。,伝統的な手芸品や芸術のモチーフ,「Qyrq qyz oyuu（40人の乙女の文様）」,語源伝説が視覚文化にも影響を与え、言葉とデザインが相互に補完し合う。
第3象限,キルギス,【事実】,南北対立における蔑称（Sart / Arqalyq）,北部人が南部人を「サルト（伝統を失い定住化した者）」と呼び、南部人が北部人を「アルカリク（山の向こうの者・ロシア化された者）」と呼んで非難し合う。,政治的・経済的な権力闘争（南北問題）の言語的表現と、地域派閥の境界線の明確化。,相手を「純粋なキルギス人ではない」とレッテル貼りすることで、自らの政治的正当性を確保する。,キルギスは天山山脈を挟んで南北で文化的・経済的背景が異なり、政治権力を巡る南北の対立が革命のたびに激化してきたという社会的事実に基づく。,選挙期間中のネット上の論争,「Sarttar biylikke keldi!（サルトたちが権力を握ったぞ！）」,南部出身の政治家を批判する際、キルギス人としての純血性を疑う侮蔑語を使う。,南部人が北部人の振る舞いを批判する時,「Arqalyqtar orus bolup ketti.（アルカリクたちはロシア人になってしまった）」,北部人がロシア語を多用し伝統を軽視しているとして彼らを非難する。,都市ビシュケクでの若者同士の対立,「Sen ?z?nch? sart bolbo.（お前、サルトみたいに振る舞うな）」,特定の行動様式（商売への執着など）をステレオタイプ化し地域差別語に結びつける。
第4象限,キルギス,【事実】,アイティシュ（Aitysh）とクードゥルの政治風刺,コムズを弾きながら即興で詩を交わすアイティシュや、道化（クードゥル）が、直接的な批判を避けつつ隠喩を用いて政治家や社会問題を痛烈に笑い飛ばす。,政治的混乱や汚職への大衆の不満を、ユーモアという安全な形で社会的に表現し共有する。,抑圧された不満を笑いに昇華することによるカタルシスと、民衆同士の連帯感の醸成。,遊牧民の伝統的な口承文芸であり、現在でもテレビ番組やコンサートで絶大な人気を誇る実在の政治風刺メディア。,アイティシュの競技会での風刺,「Deputattar uktap jatat...（議員たちは眠っている…）」,議会で居眠りする政治家を即興の詩に織り込んで観客の笑いを取る。,クードゥル（漫談家）のコンサート,「Chongdor jep toydo.（大物たちは食って満腹だ）」,汚職や公金横領を「食べる（jep）」と表現し、権力層の貪欲さをユーモラスに批判する。,日常生活で政治の話題が出た際,「Kuudul aytqanday...（クードゥルが言ったように…）」,漫談の風刺フレーズを引用することで、直接的な怒りを避けつつ共通の不満を確認し合う。
第1象限,タジキスタン,【事実】,メフモンナヴォズィー（Mehmonnavozi）と儀礼的辞退,客人は勧められた食べ物や贈り物を最初は必ず辞退し、主人は何度も強く勧めるというペルシャ語圏特有の台本通りの言語的駆け引き（タアロフ）を行う。,主人と客の間の社会的な距離を保ちつつ、互いの寛大さと謙虚さを確認し合う。,直接的な要求や受諾を避けることで「がめつい」と思われる恐怖を取り除き、自己の品格を保つ。,イラン・ペルシャ文化圏に共通する、社会言語学的な「面子（フェイス）」を保つためのポライトネス理論に基づく事実。,食卓で主人が客に肉を勧める,"「Gired, gired!（取って、取って！）」に対し「Tashakkur, seram.（ありがとう、満腹です）」",客は本当に満腹でなくてもまずは断り、主人はそれを無視して皿に盛るのがルール。,タクシー運転手や店主への支払い時,「Hojat nest.（払う必要はありませんよ）」,本当に無料というわけではなく「金を取るようなケチではない」というポーズの儀礼表現。,訪問客が帰ろうとする時,「Holo shined.（まだ座っていてください）」,客が長居しないように帰るそぶりを見せ、主人がそれを引き留めることで互いの好意を確認する。
第2象限,タジキスタン,【都市伝説】,「Tojik（タジク）」の王冠語源,タジクという民族名は、ペルシャ語の「Toj（王冠）」に由来し、タジク人は歴史的に「王冠を戴く高貴な民族」であると広く信じられている。,ペルシャ系民族としての歴史的優越感と、国民統合のためのナショナル・アイデンティティの創出。,内戦のトラウマや経済的苦境を乗り越えるための、誇り高く輝かしい自己イメージの獲得。,学術的にはアラブ系部族名（Tayi）に由来するという説が有力だが、国家建国神話において「王冠説」が意図的に採用・普及された。,国旗や国章のデザイン解説,「Toj - Tojikon.（王冠、すなわちタジク人）」,国旗の中心に王冠を配置し、民族名と視覚的シンボルを言語的にリンクさせている。,大統領の演説や愛国詩,「Millati tojdor（王冠を持つ民族）」,タジク人が古代ペルシャ帝国の正統な後継者であるというレトリックとして多用される。,学校での歴史教育,「Tojik nomining ma'nosi tojdir.（タジクという名の意味は王冠である）」,子供たちに対し、学術的背景を捨象してロマンチックな民間語源を事実として教え込んでいる。
第3象限,タジキスタン,【事実】,内戦期における「ヴォヴチク」と「ユルチク」,内戦時、イスラム復興党派を「ヴォヴチク（ワッハーブ派の蔑称）」、親ソ派を「ユルチク（KGB議長名にちなむ）」と呼び合い互いを非人間化した。,複雑な政治・地域的対立を単純な「敵味方」の二元論に還元し、暴力行為を正当化する。,相手にロシア語風の滑稽かつ恐ろしいレッテルを貼ることで、同胞を殺害する心理的ハードルを下げる。,タジキスタン内戦（1992-1997）という過酷な歴史的事実において、プロパガンダと民衆の間で実際に使用された言語的ラベリング。,内戦中の検問所での尋問,「Sen Vovchik-mi?（お前はヴォヴチクか？）」,特定の地域出身者や外見を持つ者を、この一言で「排除すべき敵」と認定した。,人民戦線派のプロパガンダ,「Yurchiklar bizni himoya qiladi.（ユルチクたちが我々を守ってくれる）」,元々は蔑称であった言葉を、一部の武装勢力が自称として内面化し連帯のシンボルとした。,戦後の回顧やトラウマの語り,「Vovchiklar kelganda...（ヴォヴチクたちが来た時…）」,現在でも、凄惨な過去を語る際に相手を特定の政治イデオロギーの怪物として語る。
第4象限,タジキスタン,【事実】,アファンディ（Latifa）を通じた権力批判,とんち者「アファンディ」を主人公にしたジョークにおいて、現代の腐敗した政治家や警察を登場させ、言葉巧みにやり込める小話。,独裁的な政治体制や日常的な汚職に対する市民の不満を、安全な笑いの形で昇華する。,無力な市民が、知恵と言葉遊びによって権力者に勝利する物語を共有することで得られるカタルシス。,直接的な政府批判がリスクを伴う社会において、伝統的なフォークロアを現代的な政治風刺の器として再利用している事実。,バザールでの商人同士の雑談,「Afandi va GAI (交通警察)...（アファンディと交通警察がいてね…）」,賄賂を要求する警察官を、アファンディが言葉の綾で逆に騙し取るという筋書きで笑う。,停電などのインフラ不足への愚痴,"「Afandiga chiroq kerak emas, chunki...（アファンディには電気は必要ない、なぜなら…）」",国家の無策を直接怒るのではなく、不条理な状況をシュールな笑いに変換して耐え忍ぶ。,選挙や役人（Rais）の訪問時,"「Rais keldi, Afandi qochdi.（ボスが来たからアファンディは逃げた）」",権力者の言葉がいかに無意味で有害であるかを、伝統的なトリックスターを通じて皮肉る。
第1象限,トルクメニスタン,【事実】,『ルフナマ』に基づく月名・曜日の強権的変更,初代大統領が自著『ルフナマ』に基づき、1月を「トルクメンバシ」、4月を母の名にするなど、すべての月や曜日を自分や国家のシンボルに変更し強制した。,国家元首の個人崇拝を日常生活の時間感覚と言語空間にまで浸透させ、絶対的な服従を強いる。,日常会話で常に独裁者の名前を口にさせることで、無意識レベルでの権力への服従と恐怖を植え付ける。,2002年から2008年まで実際にトルクメニスタンで施行されていた、極端な独裁政権によるトップダウンの言語統制政策という事実。,公文書やニュース番組での日付の読み上げ,「Turkmenbashy ayining on beshi...（トルクメンバシ月の15日…）」,西暦の1月という概念を消去し、時間の支配者が大統領であることを強制的に認識させる。,日常の買い物（パンの呼称変更）,「Bir Gurbansoltan Eje berin.（グルバンソルタン・エジェを一つください）」,パンという単語さえ大統領の母の名前に変更され、生命の維持と独裁者の家族を結びつけられた。,学校でのカレンダー暗唱,"「Ruhgun, Yashgun...（ルフナマの日、若者の日…）」",曜日名をイデオロギー的な名称に変え、子供たちの空間・時間認識を洗脳した。
第2象限,トルクメニスタン,【都市伝説】,「Turkmen」の「私はテュルク」民間語源,トルクメンという名称は、「Turk（テュルク）」と「Men（私）」から成り、「私こそが純粋なテュルク人である」という意味を持つという解釈。,テュルク系民族の中での自らの歴史的優位性の主張と、国家イデオロギーによる選民思想の強化。,閉鎖的で孤立した体制の中にあっても、自らが世界の中心・起源であると信じることによる精神的安定。,学術的には「テュルクに似た者」等のペルシャ語由来説があるが、ニヤゾフ政権下では『ルフナマ』を通じて「私はテュルク」説が公式な真実として教え込まれた。,学校の歴史・ルフナマの授業,「Turkmen degani 'Men Turk' deganidir.（トルクメンとは『私はテュルク』という意味である）」,国定教科書を通じて、民間語源を国家の公式な起源神話として暗記させる。,愛国的な歌謡や詩の朗読,"「Asl Turk men, Turkmen men!（本来のテュルクは私だ、トルクメンだ！）」",言語の偶然の響き（Men＝私）を利用して、民族の純血性とプライドを芸術的に高揚させる。,周辺国との文化比較,「Haqiqiy Turk bizmiz.（真のテュルクは我々だ）」,語源を盾に取り、自分たちこそがテュルク系民族の正統な長兄であるという優越感を示す。
第3象限,トルクメニスタン,【事実】,アハル・テケ偏重と部族主義的ラベリング,権力の中枢を占めるアハル州のテケ族を特権階級とみなし、非テケ族と互いに「部族の出自」を理由に見下し合い、ラベリングする。,資源分配の不平等や政治的排除を、部族の境界線に沿って正当化または批判する。,自らの出自に基づく優越感の誇示、あるいは不平等な社会におけるルサンチマンの表現。,トルクメニスタンの社会構造は伝統的に5大部族から成り、国旗にも反映されているが、実態は特定部族（特にアハル・テケ）による権力独占という社会的事実がある。,職場や初対面での出自の確認,「Sen qaysy wela?atdan?（君はどの州の出身だ？）」,表向きは出身地を尋ねるが、実際にはどの部族に属するかを値踏みしている。,アハル州出身者による地方出身者への態度,「Olar wela?atly.（あいつらは地方の者だ）」,非テケ族を「田舎者」とみなし、暗黙のうちに二級市民として線引きする。,他部族による権力独占への陰口,「Hemmesi Teke boldy.（みんなテケになってしまった）」,役職や利権が特定部族に占められている現状を、皮肉を込めて批判する。
第4象限,トルクメニスタン,【事実】,ケミネ（Kemine）の笑話を通じた暗黙の風刺,19世紀の風刺詩人ケミネや伝統的なトリックスター（エペンディ）の小話に事寄せて、現代の検閲や不条理な社会状況を間接的に笑い飛ばす。,極端な言論統制下において、古典文学の枠組みを隠れ蓑にして政治的・社会的批判を密かに共有する。,抑圧された環境の中で、知恵と言葉遊びを用いて権力を「笑いの対象」に引き下ろす一時的なカタルシス。,言論の自由がない独裁体制下において、民衆は古典的な笑話（ラティファ）を現代の文脈に読み替えることで、体制への「見えない抵抗」を行っている実態がある。,チャイハナ（茶屋）での密やかな世間話,「Kemine a?dypdyr...（ケミネが言うには…）」,自分の意見として政府を批判するのは危険なため、過去の詩人の言葉として不満を代弁させる。,物価高や物不足に直面した時の嘆き,「Ependi hem mu?a ha?ran galar.（エペンディもこれには驚くだろう）」,現代の不条理な経済状況を、伝統的な笑話の主人公ですら対応できない事態として皮肉る。,理不尽な役人の対応を受けた後の愚痴,「Kemel?? d?wri gowudy.（ケミネの時代の方が良かった）」,過去の英雄の時代を引き合いに出し、暗に現在の指導層の無能さを批判する。
第1象限,アラブ首長国連邦,【事実】,マジュリス（客間）における身分・敬意表現,年長者や首長族に対して極めて形式化された挨拶や身体言語（鼻キスなど）を用いる,部族社会におけるヒエラルキーと秩序の維持、連帯の確認,所属意識の強化と社会的摩擦の回避,湾岸アラブ社会において、遊牧民（ベドウィン）の伝統的な部族間交渉の場であるマジュリスの作法が、現代の国民国家形成後もアイデンティティとして制度化されている。,年長者や高位の者へ挨拶する時,タワル・アッラー・オムラク（神があなたの寿命を延ばされますように）,相手の長寿を祈ることで、自らの忠誠と敬意を明確に示す機能を持つ。,伝統的な挨拶を交わす時,ハシュマク（あなたの鼻）と言いながら鼻と鼻を合わせる,砂漠において顔を隠す中で唯一露出する鼻を合わせるベドウィンの伝統から、強い対等と敬意を示す。,相手を歓迎する時,マルハバ・アル＝サーア（この瞬間に歓迎します）,単なる歓迎を超え、相手の来訪が自分にとってどれほど価値ある時間であるかを強調する湾岸特有の表現。
第2象限,アラブ首長国連邦,【事実】,ハリージー（湾岸）若者言葉における「美」の表現,伝統的な美意識（鷹狩りや装飾）に由来する言葉を、現代のファッションや優れた事象の褒め言葉として使う,若者間の共感の形成と、グローバル化の中でのローカルなアイデンティティの保持,仲間内の連帯感と、自文化への誇りの喚起,急激な近代化を経験したUAEにおいて、若者たちは英語とアラビア語を交ぜつつも、称賛を表す際には意図的にベドウィンの伝統に根ざした語彙を用いることで「自国らしさ」を保っている。,友人が新しい服を着てきた時,カシュハ（Kashkha / 華やか・完璧）,元々は儀礼的な身なりを指すが、現在ではクールなもの全般への賛辞として多用され、アハ体験を生む。,素晴らしいアイデアや出来事に遭遇した時,タルティーブ（Tartib / 整理されている・完璧な段取り）,物事が綺麗に収まっていることへの美意識を示し、仲間内で「いいね」と同義で使われる。,非常に見事なスキルを見た時,ファンナーン（Fannan / 芸術家）,単なる「上手い」ではなく、アラブ文化における芸術的な至高性を比喩として使い相手を称える。
第3象限,アラブ首長国連邦,,NO_DATA,,,,,,,,,,,,,
第4象限,アラブ首長国連邦,,NO_DATA,,,,,,,,,,,,,
第1象限,イエメン,【事実】,カト（嗜好品）摂取の集まり（マクヤル）における席次の言語規則,部屋の奥（サドル）に座る有力者と、手前に座る一般参加者の間で、厳格な敬称や発言権のルールが存在する。,部族社会における権威の可視化と、調停機能の維持,身分に応じた承認欲求の充足と、秩序に対する安心感,イエメン社会の核であるカトを噛む集い（マクヤル／タフリータ）は、単なる娯楽ではなく部族の政治的決定や紛争解決の場として機能しており、そこで使われる言語は部族法（ウルフ）に裏打ちされている。,部族長や有力者に意見を求める時,ヤー・シャイフ（Ya Sheikh / 長老よ）,個人の名前ではなく称号を用いることで、その場における発言の重みと決定権を帰属させる。,預言者ムハンマドの血筋とされる階級の者に話しかける時,ヤー・サイイド（Ya Sayyid / 主君よ）,イエメン特有のザイド派社会における宗教的ヒエラルキーを言語的に再確認する機能を持つ。,一般の部族民同士が敬意を払う時,ヤー・カビーリー（Ya Qabili / 部族の男よ）,「名誉ある部族の一員」という属性を呼びかけに使うことで、互いの対等な誇りを尊重し合う。
第2象限,イエメン,【事実】,サヌア方言における独特の親愛・情緒表現,独特の語彙や発音を用いて、イエメン固有の情緒や仲間内の親密さを表現する,内戦等の過酷な状況下におけるイエメン人（特にサヌア住民）同士の紐帯の強化,郷愁や同郷の仲間意識の喚起による心理的安定化,イエメンのアラビア語（特にサヌア方言）は他国のアラビア語と大きく異なり、古代南アラビア語の語彙を残すなど独自の発展を遂げており、これが同郷者の強い連帯感の基盤となっている。,友人との楽しい時間を振り返る時,サリー（Sali / 心晴れやかな状態）,単なる「楽しい」ではなく、サヌア特有の精神的な心地よさや憂いのない状態を指す深い共感の言葉。,子供や未熟な友人を親愛を込めて呼ぶ時,ジャーヒル（Jahel / 無知な者・子供）,標準アラビア語では「無知な者」という蔑称だが、イエメンでは子供への愛情のこもった呼称として反転する。,相手の話に驚きや興味を示す時,モー？（Mo? / 何？）,標準語の「マーザー」ではなく、極めて短縮されたサヌア特有の響きが、仲間内のリズムを生み出す。
第3象限,イエメン,【事実】,イエメン内戦におけるプロパガンダと階層的分断の言葉,フーシ派（アンサール・アッラー）と対立勢力が、相手を非人間化したり、内部の階層を固定化するために用いる蔑称,敵対勢力の非合法化、および自陣営内のイデオロギー統制と動員,敵に対する憎悪の増幅と、味方への犠牲の強要の正当化,2014年以降のイエメン内戦において、言語は重要な武器となり、特にフーシ派はザイド派の宗教的権威を利用して内部階層を分け、対立者を異端視・傭兵視する語彙を社会に定着させた。,フーシ派の高位指導層（預言者の血筋とされる人々）を指す時,カナーディール（Qanadil / 吊り下げられた美しいランプ）,指導層を美しく貴重な存在（神聖な血筋）として比喩し、特権階級であることを言語的に正当化する。,前線で消費される一般部族出身の戦闘員を指す時,ザナービール（Zanabil / 日用品を入れる籠）,使い捨ての籠に例えることで、一般戦闘員の命の軽さを冷酷に表し、身分差を固定化する分断の言葉。,フーシ派がサウジ主導連合軍や政府軍の支持者を非難する時,ムルタザク（Murtazaq / 傭兵）,相手の政治的信念を否定し、単に金で買われた存在に貶めることで、攻撃や弾圧を正当化する。
第4象限,イエメン,,NO_DATA,,,,,,,,,,,,,
第1象限,イスラエル,【都市伝説】,「邪視（アイン・ハラ）」を避けるための防衛的言語習慣,良いことや自慢話を口にすると、悪魔や嫉妬による呪い（アイン・ハラ）を呼び込むと広く信じられており、必ず打ち消しの言葉を添える,共同体内での過度な嫉妬の防止と、社会的な謙遜の強制,予期せぬ不幸に対する不安の軽減（自己防衛機制）,ユダヤ教（および中東広域の文化）に古くから根付く「邪視」の信仰が、現代イスラエルの日常会話において言語的な「お守り」として定着したものであり、科学的根拠のない民間信仰（都市伝説・迷信）である。,子供の健康や美しさを褒められた時,ブリー・アイン・ハラー（Bli ayin hara / 邪視がありませんように）,褒め言葉によって引き起こされる呪いを即座にキャンセルする「呪文」として機能する。,商売の成功や今後の順調な計画を語る時,ハムサ・ハムサ・ハムサ（Hamsa hamsa hamsa）,幸運のお守りであるハムサ（5本指）を言葉で3回唱えることで、不吉な未来を言語的にブロックする。,将来の目標や予定を断言する時,ベズラット・ハシェム（Bezrat Hashem / 神の助けがあれば）,「自分の力で成功する」という傲慢な響きを消し、神（あるいは運命）の権威を立てることで罰を逃れる偽マナー。
第2象限,イスラエル,【事実】,アラビア語借用によるヘブライ語の連帯スラング,現代ヘブライ語において、感情の起伏や親密さを示す際に、アラビア語起源のスラングを多用する,堅苦しい公用語（復活したヘブライ語）に対するリラクゼーション機能と、中東的な土着性の獲得,インフォーマルな場での心理的距離の短縮と、アハ体験的な心地よさ,20世紀に人為的に復活・近代化されたヘブライ語には、日常のラフな感情を表す語彙が不足していたため、共存するアラビア語（あるいはミズラヒ系ユダヤ人が持ち込んだアラビア語）が感情表現を補完する形で定着した。,友人からの提案に快く賛同する時,サババ（Sababa / 素晴らしい・問題ない）,元のアラビア語の「熱望・愛」から転じ、ヘブライ語圏で最もポピュラーな「OK」「最高」の意として連帯を生む。,相手に深い愛情や感謝、あるいは同情を示す時,カパーラ・アライヒ（Kapara alayikh / あなたの贖罪に私がなろう）,直訳は宗教的な自己犠牲だが、「あなたのためなら何でもするよ」という極めて親密で情緒的な愛情表現として使われる。,がっかりした事態を友人と分かち合う時,エイゼ・バサ（Eize Basa / なんて最悪なんだ）,アラビア語の「失望」を借用し、不満をユーモラスに共有して慰め合うための隠語的な響きを持つ。
第3象限,イスラエル,【事実】,エスニック・政治的対立を煽るカテゴライズ用語,建国以来の出身地（欧州系 vs 中東系）や、現在の政治的イデオロギー（左派 vs 右派）を極端にラベリングし、非難・キャンセルする言葉,政治的分極化の推進と、自陣営の結束（他者のスケープゴート化）,相手を特定のステレオタイプに還元することによる、攻撃の心理的ハードルの低下,イスラエル社会は「移民のるつぼ」でありながら、建国初期の欧州系（アシュケナジム）の覇権に対する中東系（ミズラヒム）の反発など、深い亀裂を抱えている。近年ではネタニヤフ政権を巡る政治的分断が言語に強く反映されている。,右派が左派の平和主義的な主張を非難する時,スモラニ・ボゲッド（Smolani boged / 左翼の裏切り者）,単なる「左派」を「国家やユダヤ人の裏切り者」と自動的に結びつけ、対話の余地をキャンセルする闘争の言葉。,欧州系エリート層が中東系の労働者階級の若者を軽蔑する時,アルス（Ars / チンピラ・下品な男）,アラビア語の「ポン引き」を語源とし、ミズラヒ系の特定のファッションや行動様式を文化的劣位として攻撃・差別する言葉。,左派や反政府層がネタニヤフ首相の熱狂的支持者を揶揄・攻撃する時,ビビスト（Bibist / ビビの狂信者）,特定の政治家の愛称に「?スト」をつけ、盲目的で非理性的集団として分断・攻撃する。
第4象限,イスラエル,,NO_DATA,,,,,,,,,,,,,
第1象限,イラク,【事実】,アシャーイル（部族）制度に基づく徹底した歓待と服従の言語,イラクの部族社会において、客人を迎える際や目上の者と話す際に、自らを低くし相手を極端に持ち上げる定型句を用いる,部族間の衝突を避けるための安全保障機能と、社会秩序（ヒエラルキー）の維持,相手への敵意がないことの証明と、被保護者としての安心感,イラク社会、特に中南部や農村部では、国家権力よりも部族（アシャーイル）の掟が社会の基盤として機能しており、過剰なまでの歓待（ディヤーファ）の言語は部族法に則った生存戦略である。,客人を自宅や集まりに招き入れる時,"アハラン・ワ・サハラン、タファッダル（Ahlan wa sahlan, Tafaddal / 家族のように平らな場所へ、さあどうぞ）",単なる歓迎ではなく、相手に一切の危険が及ばないことを保証する部族的な契約の言葉。,相手からの依頼や命令を引き受ける時,アラー・ラーシー（Ala rasi / 私の頭の上に）,「あなたの命令は私の頭（最も高い場所）にある」と表現し、絶対的な服従と敬意を示して秩序を保つ。,相手への親愛や献身を表現する時,フドワ（Fudwa / 犠牲）,「あなたのために私が身代わり（犠牲）になる」と大袈裟に表現することで、相手への絶対的な忠誠と敵意のなさを確認する。
